District,Year,Enrolled,Status,Percentage
16,2019,102620.0,Absent Percentage,14.272071720912102
16,2019,90270.0,Absent Percentage,15.692921236291127
16,2019,117717.0,Absent Percentage,14.588377209748804
16,2019,89779.0,Absent Percentage,14.121342407467225
16,2019,59720.0,Absent Percentage,18.174815807099797
16,2020,56763.0,Absent Percentage,17.028698271761534
16,2020,121342.0,Absent Percentage,14.06355589985331
16,2020,104333.0,Absent Percentage,12.360422876750404
16,2020,98538.0,Absent Percentage,11.999431691327203
16,2020,109970.0,Absent Percentage,12.071474038374102
16,2020,79259.0,Absent Percentage,12.778359555381725
16,2020,114452.0,Absent Percentage,12.884003774508091
16,2020,114299.0,Absent Percentage,11.577529112240702
16,2020,108856.0,Absent Percentage,11.721907841552143
16,2020,97891.0,Absent Percentage,15.036111593507066
17,2018,306308.0,Absent Percentage,8.295898246209697
17,2018,448766.0,Absent Percentage,6.973790349536284
17,2018,367163.0,Absent Percentage,8.801268101633335
17,2018,305865.0,Absent Percentage,9.098458470240137
17,2018,399481.0,Absent Percentage,10.729421424298028
17,2018,285717.0,Absent Percentage,8.810116303895112
17,2018,408564.0,Absent Percentage,8.632429680539646
17,2018,326597.0,Absent Percentage,8.541413423883256
17,2018,448792.0,Absent Percentage,9.767330968466462
17,2018,275860.0,Absent Percentage,15.357790183426376
17,2019,338060.0,Absent Percentage,7.2682364077382715
17,2019,397170.0,Absent Percentage,7.265150942921167
17,2019,337340.0,Absent Percentage,8.878579474713938
17,2019,297161.0,Absent Percentage,9.965641520926367
17,2019,386378.0,Absent Percentage,10.210467469679951
17,2019,297648.0,Absent Percentage,9.428922754394453
17,2019,198216.0,Absent Percentage,12.905618113573073
17,2020,189152.0,Absent Percentage,15.68579766536965
17,2020,398487.0,Absent Percentage,13.65289206423296
17,2020,342082.0,Absent Percentage,13.320198081161827
17,2020,322469.0,Absent Percentage,13.272283537332271
17,2020,359787.0,Absent Percentage,12.79562630111705
17,2020,256190.0,Absent Percentage,12.395487723954878
17,2020,377889.0,Absent Percentage,11.869358462405627
17,2020,377819.0,Absent Percentage,12.580362554556546
17,2020,358941.0,Absent Percentage,13.25928216614987
17,2020,326905.0,Absent Percentage,17.725944846362093
18,2018,210033.0,Absent Percentage,8.730532821032885
18,2018,308637.0,Absent Percentage,7.568438003220612
18,2018,251696.0,Absent Percentage,9.634638611658508
18,2018,209437.0,Absent Percentage,9.611482211834584
