District,Year,Attendance Percentage,Number Tested,Mean Scale Score,Pct Level 1,Pct Level 2,Pct Level 3,Pct Level 4,Pct Level 3 and 4,Subject,DBN,Total Enrollment,Economic Need Index,Borough
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M059,598.0,0.078,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M077,360.0,0.102,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M089,456.0,0.095,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M104,1116.0,0.407,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M111,413.0,0.591,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M114,451.0,0.13,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M116,504.0,0.345,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M124,675.0,0.615,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M126,712.0,0.757,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M130,858.0,0.555,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M131,401.0,0.8440000000000001,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M135,265.0,0.813,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M139,401.0,0.83,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M150,189.0,0.141,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M151,486.0,0.366,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M158,796.0,0.1169999999999999,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M167,1379.0,0.289,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M177,230.0,0.264,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M183,554.0,0.069,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M198,488.0,0.362,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M212,363.0,0.254,Manhattan
02,2018,91.36631775,15371.0,614.0,8.2,17.5,33.1,41.1,74.3,ELA,02M217,617.0,0.293,Manhattan
